Original Atlas,Left Hemisphere Label,Right Hemisphere Label,Matter,Territories,System,Region of interest
Tohoku,721,722,Grey Matter,Cortex,Somatosensory System,Secondary Somatosensory Cortex
Waxholm,731,732,Grey Matter,Basal ganglia,Striatal System,Striatum
Waxholm,741,742,Grey Matter,Cortex,Hippocampus Fomation,Subiculum
Waxholm,751,752,Grey Matter,Mesencephalon,Tegmentum,Substantia Nigra
Waxholm,761,762,Grey Matter,Mesencephalon,Colliculi,Superficial Gray Layer of the Superior Colliculus
Tohoku,771,772,Grey Matter,Cortex,Temporal System,Temporal Associative Cortex
Waxholm,781,782,White Matter,Cortex,Hippocampus Fomation,Fimbria of the Hippocampus
Waxholm,791,792,White Matter,Olfactory Bulb,Inter Hemispheric Commisures,Anterior Commissure Intrabulbar part
Waxholm,801,802,White Matter,Basal ganglia,Inter Hemispheric Commisures,Anterior Commissure anterior part
Waxholm,811,812,White Matter,Basal ganglia,Inter Hemispheric Commisures,Anterior Commissure posterior part
Waxholm,821,822,White Matter,Brainstem,Sensory System,Ascending Fibers of the Facial Nerve
Waxholm,831,832,White Matter,Mesencephalon,Colliculi,Brachium of the Superior Colliculus
Waxholm,841,842,White Matter,Brainstem,Medulla,Brainstem
Waxholm,851,852,White Matter,Brainstem,Medulla,Central Canal
Waxholm,871,872,White Matter,Mesencephalon,Colliculi,Commissure of the Inferior Colliculus
Waxholm,881,882,White Matter,Mesencephalon,Colliculi,Commissure of the Superior Colliculus
Waxholm,891,892,White Matter,Fiber tract,Corpus Callosum,Corpus Callosum and Associated Subcortical White Matter
Waxholm,901,902,White Matter,Mesencephalon,Inter Hemispheric Commisures,Deeper Layers of the Superior Colliculus
Waxholm,911,912,White Matter,Fiber tract,Internal Capsule,Descending Corticofugal Pathways and Globus Pallidum
Waxholm,921,922,White Matter,Brainstem,Sensory System,Genu of the Facial Nerve
Waxholm,931,932,White Matter,Fiber tract,Thalamus,Fasciculus Retroflexus
Waxholm,941,942,White Matter,Cortex,Hippocampus Fomation,Fimbria of the Hippocampus
Waxholm,951,952,White Matter,Diencephalon,Thalamus,Fornix
Waxholm,961,962,White Matter,Cortex,Inter Hemispheric Commisures,Inferior Cerebellar Peduncle/Spinal Trigeminal Tract
Waxholm,971,972,Grey Matter,Diencephalon,Medulla,External Cortex of the Inferior Colliculus 
Waxholm,981,982,White Matter,Diencephalon,Inter Hemispheric Commisures,Mammillothalamic Tract
Waxholm,991,992,White Matter,Cerebellum,Spinocerebellar Pathway ,Medial Lemniscus Decussation
Waxholm,1001,1002,White Matter,Cerebellum,Spinocerebellar Pathway ,Medial Lemniscus
Waxholm,1011,1012,White Matter,Cerebellum,Somatosensory System,Middle Cerebellar Peduncle 
Waxholm,1021,1022,White Matter,Diencephalon,Thalamus,Optic Tract and Optic Chiasm
Waxholm,1181,1182,White Matter,Brainstem,Medulla,Inferior Olive/PyramidalDecusation/SP5
Waxholm,1041,1042,White Matter,Brainstem,Medulla,Posterior Commissure
Waxholm,1051,1052,White Matter,Cerebellum,Cerebellopontine Pathway,Pyramidal tract
Waxholm,1061,1062,Grey Matter,Diencephalon,Septum,Septal Region
Waxholm,1071,1072,White Matter,Diencephalon,Sensory System,Spinal Cord
Waxholm,1081,1082,White Matter,Mesencephalon,Medulla,SP5
Waxholm,1091,1092,White Matter,Basal ganglia,Inter Hemispheric Commisures,Dorsal Fornix
Waxholm,1101,1102,White Matter,Brainstem,Medulla,Fimbria of the Hippocampus
Waxholm,1111,1112,White Matter,Diencephalon,Thalamus,Subthalamic Nucleus
Waxholm,1121,1122,White Matter,Spinal Cord,Fiber tract,Optic Pathways 
Waxholm,1131,1132,White Matter,Diencephalon,Thalamus,Thalamus 
Waxholm,1141,1142,White Matter,Diencephalon,Pons,Brachium Pontis
Waxholm,1151,1152,White Matter,Diencephalon,Thalamus,Ventral Hippocampal Commissure
Waxholm,1161,1162,White Matter,Brainstem,Medulla,Periventricular Grey
SIGMA,1171,1172,CSF,CSF,CSF,Ventricular System
SIGMA,1031,1032,White Matter,Diencephalon,Pons,Pons
